file,is_intact,details
56_20200219-145348_009_plantC_day11.txt,y,Done!
63_20200219-145220_004_plantD_day3.txt,y,Done!
53_20200219-145348_008_plantD_day2.txt,y,Done!
61_20200219-145348_010_plantA_day1.txt,y,Done!
37_20200213-171245_002_plantA_day7.txt,y,Done!
18_20200205-214859_007_plantE_day7.txt,y,Done!
77_set1_day13_20200329-135710_005_plantE_day13.txt,n,"Edge assignment failed: (61, [18, 0]); 17; 3; ['17.0 290.0 0', '[18,4]']"
79_set1_day13_20200329-135710_007_plantC_day5.txt,n,"Edge assignment failed: (16, [13, 0]); 12; 1; ['-44.0 182.0 0', '[13,1] [12,2]']"
12_20200205-215035_013_plantA_day8.txt,n,"Edge assignment failed: (48, [29, 0]); 29; 2; ['-41.0 706.0 0', '[30,1]']"
1_20200205-215035_009_plantC_day10.txt,n,"Edge assignment failed: (3, [3, 0]); 2; 2; ['-4.0 13.0 0', '[3,2] [2,3]']"
79_set1_day13_20200329-135710_007_plantD_day2.txt,y,Done!
11_20200205-214859_004_plantB_day3.txt,y,Done!
53_20200219-145348_008_plantA_day4.txt,y,Done!
96_set1_day13_20200329-140102_024_plantC_day7.txt,n,"Edge assignment failed: (58, [38, 0]); 38; 2; ['148.0 719.0 0', '[39,1]']"
95_set1_day13_20200329-140102_023_plantD_day8.txt,n,"Edge assignment failed: (32, [24, 0]); 23; 3; ['-39.0 387.0 0', '[24,2]']"
48_20200213-171421_015_plantA_day8.txt,n,"Edge assignment failed: (64, [33, 0]); 32; 1; ['-21.0 615.0 0', '[33,1] [32,2]']"
77_set1_day13_20200329-135710_005_plantE_day10.txt,y,Done!
31_20200205-215844_029_plantD_day9.txt,n,"Edge assignment failed: (29, [25, 0]); 24; 1; ['23.0 515.0 0', '[25,1] [24,2]']"
92_set1_day13_20200329-140102_020_plantE_day3.txt,y,Done!
37_20200213-171245_002_plantC_day11.txt,n,"Edge assignment failed: (207, [51, 0]); 51; 2; ['-83.0 1484.0 0', '[52,1]']"
104_20200329-140231_032_plantA_day13.txt,n,"Edge assignment failed: (11, [7, 0]); 6; 2; ['23.0 139.0 0', '[7,2] [6,3]']"
41_20200213-171421_012_plantE_day8.txt,y,Done!
37_20200213-171245_002_plantA_day5.txt,y,Done!
31_20200205-215844_029_plantB_day4.txt,y,Done!
63_20200219-145220_004_plantD_day2.txt,y,Done!
1_20200205-215035_009_plantB_day8.txt,n,"Edge assignment failed: (32, [22, 0]); 21; 2; ['-121.0 495.0 0', '[22,2]']"
27_20200205-215844_027_plantB_day3.txt,y,Done!
15_20200205-214859_006_plantC_day5.txt,y,Done!
96_set1_day13_20200329-140102_024_plantE_day2.txt,y,Done!
18_20200205-214859_007_plantB_day10.txt,n,"Edge assignment failed: (148, [28, 0]); 27; 9; ['-70.0 761.0 0', '[28,8] [27,9]']"
6_20200205-214859_002_plantE_day10.txt,n,"Edge assignment failed: (57, [26, 0]); 25; 2; ['-41.0 688.0 0', '[26,2]']"
45_20200213-171245_005_plantA_day5.txt,y,Done!
62_20200218-131149_004_plantC_day11.txt,n,"Edge assignment failed: (117, [57, 0]); 56; 2; ['240.0 978.0 0', '[57,2] [56,3]']"
54_20200219-145220_002_plantC_day14.txt,n,"Edge assignment failed: (172, [59, 0]); 58; 5; ['-146.0 996.0 0', '[59,5] [58,6]']"
77_set1_day13_20200329-135710_005_plantD_day1.txt,y,Done!
61_20200219-145348_010_plantB_day11.txt,n,"Edge assignment failed: (34, [33, 0]); 32; 1; ['-58.0 529.0 0', '[33,1] [32,2]']"
60_20200219-145220_003_plantD_day11.txt,n,"Edge assignment failed: (47, [17, 0]); 16; 4; ['62.0 230.0 0', '[17,3]']"
10_20200205-215035_012_plantC_day6.txt,y,Done!
56_20200219-145348_009_plantC_day3.txt,y,Done!
56_20200219-145348_009_plantA_day10.txt,y,Done!
96_set1_day13_20200329-140102_024_plantB_day6.txt,y,Done!
40_20200213-171245_003_plantC_day10.txt,n,"Edge assignment failed: (45, [29, 0]); 28; 3; ['79.0 607.0 0', '[29,3]']"
13_20200205-214859_005_plantC_day7.txt,y,Done!
77_set1_day13_20200329-135710_005_plantE_day6.txt,y,Done!
18_20200205-214859_007_plantC_day3.txt,y,Done!
31_20200205-215844_029_plantA_day8.txt,n,"Edge assignment failed: (48, [33, 0]); 32; 1; ['59.0 604.0 0', '[33,1] [32,2]']"
26_20200205-215715_018_plantC_day7.txt,n,"Edge assignment failed: (22, [15, 0]); 15; 2; ['35.0 315.0 0', '[16,1]']"
71_20200219-145220_006_plantE_day6.txt,y,Done!
35_20200213-171421_010_plantC_day14.txt,n,"Edge assignment failed: (182, [50, 0]); 49; 3; ['-83.0 1228.0 0', '[50,3]']"
77_set1_day13_20200329-135710_005_plantA_day10.txt,n,"Edge assignment failed: (93, [28, 0]); 27; 5; ['41.0 505.0 0', '[28,4]']"
53_20200219-145348_008_plantA_day11.txt,y,Done!
90_set1_day13_20200329-140102_018_plantD_day1.txt,y,Done!
